Record ID,Subject Heading,General Heading Note,Title,Number,Date,Geographic Location,Corporate Name,Personal Name
"1",,"Abandonments. [By location]",,,,,"Southern Pacific",
"2","Abandonments",,,,,"California.  Butte County","Southern Pacific",
"3","Abandonments",,,,,"California.  Butte and Yuba Counties","Southern Pacific",
"4","Abandonments",,,,,"California.  Colusa and Glenn Counties","Southern Pacific",
"5","Abandonments",,,,,"California.  Fresno County","Southern Pacific",
"6","Abandonments",,,,,"California.  Imperial County","Southern Pacific",
"7","Abandonments",,,,,"California.  Inyo County","Southern Pacific",
"8","Abandonments",,,,,"California.  Kern County","Southern Pacific",
"9","Abandonments",,,,,"California.  Lassen County","Southern Pacific",
"10","Abandonments",,,,,"California.  Los Angeles County","Southern Pacific",
"11","Abandonments",,,,,"California.  Napa County","Southern Pacific",
"13","Abandonments",,,,,"California.  Orange County","Southern Pacific",
"14","Abandonments",,,,,"California.  Riverside County","Southern Pacific",
"15","Abandonments",,,,,"California.  Sacramento County","Southern Pacific",
"16","Abandonments",,,,,"California.  San Bernardino County","Southern Pacific",
"17","Abandonments",,,,,"California.  San Francisco and San Mateo Counties","Southern Pacific",
"18","Abandonments",,,,,"California.  Santa Clara County","Southern Pacific",
"19","Abandonments",,,,,"California.  Santa Cruz County","Southern Pacific",
"20","Abandonments",,,,,"California.  Solano and Yolo Counties","Southern Pacific",
"21","Abandonments",,,,,"California.  Stanislaus County","Southern Pacific",
"22","Abandonments",,,,,"California.  Tulare County","Southern Pacific",
"23","Abandonments",,,,,"California.  Yolo and Sutter Counties","Southern Pacific",
"24","Abandonments",,,,,"California.  Yuba County","Southern Pacific",
"25","Abandonments",,,,,"Nevada","Southern Pacific",
"26","Abandonments",,,,,"New Mexico","Southern Pacific",
"28","Abandonments",,,,,"Oregon","Southern Pacific",
"29","Abandonments",,,,,"Texas","Southern Pacific",
"30","Abandonments","Progress of branch line / line abandonments.  [By year]",,,"1950-1977",,"Southern Pacific",
"31","Accounting",,,,,,"Southern Pacific",
"32","Accounting Department",,"Circular 221. [To freight agents and conductors]",,"Nov. 1, 1910",,"Southern Pacific",
"33","Agriculture",,,,,,"Southern Pacific",
"34","Air brakes",,"26 L",,,,"Southern Pacific",
"35","Air brakes",,"Definitions and functions of equipment used in connection with the air brake and train handling rules",,"Oct. 31, 1976",,"Southern Pacific",
"36","Air brakes.  Demonstrations",,"Results of comparative demonstration for determining the distinctive features of standard and improved air brake equipment for freight and passenger cars conduct jointly by Southern Pacific Company, Pacific System, and the Westinghouse Air Brake Company",,"1908",,"Southern Pacific",
